TOPIC,TAXONOMY,CLASSIFICATION,GROUP,GROUP_ORDER,SUBGROUP,SUBGROUP_ORDER,ESTIMATE_TYPE,TIME_PERIOD,ESTIMATE
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Age groups with 65 years and older,2,50-64 years,4,"Percent of population, crude",2021,1.8
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Age groups with 65 years and older,2,50-64 years,4,"Percent of population, crude",2022,1.7
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Age groups with 65 years and older,2,50-64 years,4,"Percent of population, crude",2023,2.0
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Age groups with 65 years and older,2,50-64 years,4,"Percent of population, crude",2024,1.7
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Age groups with 65 years and older,2,65 years and older,5,"Percent of population, crude",2019,4.4
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Age groups with 65 years and older,2,65 years and older,5,"Percent of population, crude",2020,3.9
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Age groups with 65 years and older,2,65 years and older,5,"Percent of population, crude",2021,3.7
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Age groups with 65 years and older,2,65 years and older,5,"Percent of population, crude",2022,4.5
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Age groups with 65 years and older,2,65 years and older,5,"Percent of population, crude",2023,3.8
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Age groups with 65 years and older,2,65 years and older,5,"Percent of population, crude",2024,4.1
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Age groups with 75 years and older,3,18-44 years,6,"Percent of population, crude",2019,0.5
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Age groups with 75 years and older,3,18-44 years,6,"Percent of population, crude",2020,0.3
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Age groups with 75 years and older,3,18-44 years,6,"Percent of population, crude",2021,0.4
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Age groups with 75 years and older,3,18-44 years,6,"Percent of population, crude",2022,0.4
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Age groups with 75 years and older,3,18-44 years,6,"Percent of population, crude",2023,0.4
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Age groups with 75 years and older,3,18-44 years,6,"Percent of population, crude",2024,0.4
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Age groups with 75 years and older,3,45-64 years,7,"Percent of population, crude",2019,1.7
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Age groups with 75 years and older,3,45-64 years,7,"Percent of population, crude",2020,1.5
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Age groups with 75 years and older,3,45-64 years,7,"Percent of population, crude",2021,1.6
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Age groups with 75 years and older,3,45-64 years,7,"Percent of population, crude",2022,1.5
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Age groups with 75 years and older,3,45-64 years,7,"Percent of population, crude",2023,1.8
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Age groups with 75 years and older,3,45-64 years,7,"Percent of population, crude",2024,1.5
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Age groups with 75 years and older,3,65-74 years,8,"Percent of population, crude",2019,3.4
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Age groups with 75 years and older,3,65-74 years,8,"Percent of population, crude",2020,3.1
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Age groups with 75 years and older,3,65-74 years,8,"Percent of population, crude",2021,2.9
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Age groups with 75 years and older,3,65-74 years,8,"Percent of population, crude",2022,4.3
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Age groups with 75 years and older,3,65-74 years,8,"Percent of population, crude",2023,3.2
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Age groups with 75 years and older,3,65-74 years,8,"Percent of population, crude",2024,3.2
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Age groups with 75 years and older,3,75 years and older,9,"Percent of population, crude",2019,5.7
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Age groups with 75 years and older,3,75 years and older,9,"Percent of population, crude",2020,5.1
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Age groups with 75 years and older,3,75 years and older,9,"Percent of population, crude",2021,4.8
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Age groups with 75 years and older,3,75 years and older,9,"Percent of population, crude",2022,4.9
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Age groups with 75 years and older,3,75 years and older,9,"Percent of population, crude",2023,4.5
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Age groups with 75 years and older,3,75 years and older,9,"Percent of population, crude",2024,5.2
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Disability status,4,With disability,10,"Percent of population, crude",2019,6.4
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Disability status,4,With disability,10,"Percent of population, crude",2020,5.7
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Disability status,4,With disability,10,"Percent of population, crude",2021,6.2
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Disability status,4,With disability,10,"Percent of population, crude",2022,6.3
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Disability status,4,With disability,10,"Percent of population, crude",2023,5.7
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Disability status,4,With disability,10,"Percent of population, crude",2024,5.7
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Disability status,4,Without disability,11,"Percent of population, crude",2019,1.2
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Disability status,4,Without disability,11,"Percent of population, crude",2020,1.0
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Disability status,4,Without disability,11,"Percent of population, crude",2021,1.1
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Disability status,4,Without disability,11,"Percent of population, crude",2022,1.2
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Disability status,4,Without disability,11,"Percent of population, crude",2023,1.2
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Disability status,4,Without disability,11,"Percent of population, crude",2024,1.1
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Functioning difficulties status,5,With functioning difficulties,12,"Percent of population, crude",2019,3.2
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Functioning difficulties status,5,With functioning difficulties,12,"Percent of population, crude",2020,2.7
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Functioning difficulties status,5,With functioning difficulties,12,"Percent of population, crude",2021,2.8
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Functioning difficulties status,5,With functioning difficulties,12,"Percent of population, crude",2022,3.2
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Functioning difficulties status,5,With functioning difficulties,12,"Percent of population, crude",2023,2.9
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Functioning difficulties status,5,With functioning difficulties,12,"Percent of population, crude",2024,2.8
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Functioning difficulties status,5,Without functioning difficulties,13,"Percent of population, crude",2019,0.6
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Functioning difficulties status,5,Without functioning difficulties,13,"Percent of population, crude",2020,0.5
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Functioning difficulties status,5,Without functioning difficulties,13,"Percent of population, crude",2021,0.5
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Functioning difficulties status,5,Without functioning difficulties,13,"Percent of population, crude",2022,0.4
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Functioning difficulties status,5,Without functioning difficulties,13,"Percent of population, crude",2023,0.5
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Functioning difficulties status,5,Without functioning difficulties,13,"Percent of population, crude",2024,0.6
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Married,14,"Percent of population, crude",2019,1.7
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Married,14,"Percent of population, crude",2020,1.5
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Married,14,"Percent of population, crude",2021,1.6
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Married,14,"Percent of population, crude",2022,1.8
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Married,14,"Percent of population, crude",2023,1.7
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Married,14,"Percent of population, crude",2024,1.7
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Divorced or separated,15,"Percent of population, crude",2019,2.4
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Divorced or separated,15,"Percent of population, crude",2020,2.2
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Divorced or separated,15,"Percent of population, crude",2021,2.3
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Divorced or separated,15,"Percent of population, crude",2022,2.4
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Divorced or separated,15,"Percent of population, crude",2023,3.0
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Divorced or separated,15,"Percent of population, crude",2024,2.4
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Widowed,16,"Percent of population, crude",2019,4.7
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Widowed,16,"Percent of population, crude",2020,4.6
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Widowed,16,"Percent of population, crude",2021,3.3
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Widowed,16,"Percent of population, crude",2022,4.2
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Widowed,16,"Percent of population, crude",2023,4.1
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Widowed,16,"Percent of population, crude",2024,4.2
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Living with a partner,17,"Percent of population, crude",2019,1.1
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Living with a partner,17,"Percent of population, crude",2020,0.8
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Living with a partner,17,"Percent of population, crude",2021,1.1
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Living with a partner,17,"Percent of population, crude",2022,1.0
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Living with a partner,17,"Percent of population, crude",2023,1.0
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Living with a partner,17,"Percent of population, crude",2024,0.9
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Never married,18,"Percent of population, crude",2019,0.6
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Never married,18,"Percent of population, crude",2020,0.6
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Never married,18,"Percent of population, crude",2021,0.8
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Never married,18,"Percent of population, crude",2022,0.7
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Never married,18,"Percent of population, crude",2023,0.5
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Marital status,6,Never married,18,"Percent of population, crude",2024,0.6
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Nativity,7,U.S.-born,19,"Percent of population, crude",2019,1.7
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Nativity,7,U.S.-born,19,"Percent of population, crude",2020,1.6
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Nativity,7,U.S.-born,19,"Percent of population, crude",2021,1.6
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Nativity,7,U.S.-born,19,"Percent of population, crude",2022,1.8
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Nativity,7,U.S.-born,19,"Percent of population, crude",2023,1.6
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Nativity,7,U.S.-born,19,"Percent of population, crude",2024,1.7
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Nativity,7,Foreign-born,20,"Percent of population, crude",2019,1.4
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Nativity,7,Foreign-born,20,"Percent of population, crude",2020,0.8
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Nativity,7,Foreign-born,20,"Percent of population, crude",2021,1.3
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Nativity,7,Foreign-born,20,"Percent of population, crude",2022,1.2
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Nativity,7,Foreign-born,20,"Percent of population, crude",2023,1.5
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Nativity,7,Foreign-born,20,"Percent of population, crude",2024,1.2
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race,8,American Indian and Alaska Native only,21,"Percent of population, crude",2019,1.7
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race,8,American Indian and Alaska Native only,21,"Percent of population, crude",2021,2.8
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race,8,American Indian and Alaska Native only,21,"Percent of population, crude",2023,2.1
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race,8,Asian only,22,"Percent of population, crude",2019,1.1
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race,8,Asian only,22,"Percent of population, crude",2020,0.9
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race,8,Asian only,22,"Percent of population, crude",2021,1.0
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race,8,Asian only,22,"Percent of population, crude",2022,1.4
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race,8,Asian only,22,"Percent of population, crude",2023,0.8
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race,8,Asian only,22,"Percent of population, crude",2024,1.4
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race,8,Black only,23,"Percent of population, crude",2019,1.4
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race,8,Black only,23,"Percent of population, crude",2020,1.4
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race,8,Black only,23,"Percent of population, crude",2021,1.0
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race,8,Black only,23,"Percent of population, crude",2022,1.1
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race,8,Black only,23,"Percent of population, crude",2023,1.2
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race,8,Black only,23,"Percent of population, crude",2024,0.9
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race,8,Native Hawaiian or Other Pacific Islander only,24,"Percent of population, crude",2022,0.0
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race,8,Native Hawaiian or Other Pacific Islander only,24,"Percent of population, crude",2023,0.0
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race,8,White only,25,"Percent of population, crude",2019,1.8
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race,8,White only,25,"Percent of population, crude",2020,1.6
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race,8,White only,25,"Percent of population, crude",2021,1.6
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race,8,White only,25,"Percent of population, crude",2022,1.8
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race,8,White only,25,"Percent of population, crude",2023,1.8
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race,8,White only,25,"Percent of population, crude",2024,1.8
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race,8,American Indian and Alaska Native and White,26,"Percent of population, crude",2020,2.2
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race,8,Black and White,27,"Percent of population, crude",2020,0.1
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race,8,Black and White,27,"Percent of population, crude",2021,1.1
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race,8,Black and White,27,"Percent of population, crude",2022,0.7
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race,8,Black and White,27,"Percent of population, crude",2023,0.0
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race,8,Black and White,27,"Percent of population, crude",2024,1.4
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"All races, Hispanic",28,"Percent of population, crude",2019,1.5
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"All races, Hispanic",28,"Percent of population, crude",2020,0.7
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"All races, Hispanic",28,"Percent of population, crude",2021,1.1
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"All races, Hispanic",28,"Percent of population, crude",2022,1.2
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"All races, Hispanic",28,"Percent of population, crude",2023,1.3
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"All races, Hispanic",28,"Percent of population, crude",2024,0.9
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"All races, Hispanic, Mexican",29,"Percent of population, crude",2019,1.3
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"All races, Hispanic, Mexican",29,"Percent of population, crude",2020,0.8
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"All races, Hispanic, Mexican",29,"Percent of population, crude",2021,0.8
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"All races, Hispanic, Mexican",29,"Percent of population, crude",2022,0.9
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"All races, Hispanic, Mexican",29,"Percent of population, crude",2023,1.1
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"All races, Hispanic, Mexican",29,"Percent of population, crude",2024,0.6
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"All races, non-Hispanic",30,"Percent of population, crude",2019,1.7
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"All races, non-Hispanic",30,"Percent of population, crude",2020,1.6
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"All races, non-Hispanic",30,"Percent of population, crude",2021,1.6
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"All races, non-Hispanic",30,"Percent of population, crude",2022,1.7
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"All races, non-Hispanic",30,"Percent of population, crude",2023,1.7
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"All races, non-Hispanic",30,"Percent of population, crude",2024,1.7
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"Black only, non-Hispanic",31,"Percent of population, crude",2019,1.3
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"Black only, non-Hispanic",31,"Percent of population, crude",2020,1.4
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"Black only, non-Hispanic",31,"Percent of population, crude",2021,1.1
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"Black only, non-Hispanic",31,"Percent of population, crude",2022,1.0
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"Black only, non-Hispanic",31,"Percent of population, crude",2023,1.3
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"Black only, non-Hispanic",31,"Percent of population, crude",2024,1.0
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"White only, non-Hispanic",32,"Percent of population, crude",2019,1.8
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"White only, non-Hispanic",32,"Percent of population, crude",2020,1.7
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"White only, non-Hispanic",32,"Percent of population, crude",2021,1.7
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"White only, non-Hispanic",32,"Percent of population, crude",2022,1.9
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"White only, non-Hispanic",32,"Percent of population, crude",2023,1.8
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"White only, non-Hispanic",32,"Percent of population, crude",2024,1.9
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"Other races, non-Hispanic",33,"Percent of population, crude",2019,1.3
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"Other races, non-Hispanic",33,"Percent of population, crude",2020,1.2
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"Other races, non-Hispanic",33,"Percent of population, crude",2021,1.5
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"Other races, non-Hispanic",33,"Percent of population, crude",2022,1.5
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"Other races, non-Hispanic",33,"Percent of population, crude",2023,1.1
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Race and Hispanic origin,9,"Other races, non-Hispanic",33,"Percent of population, crude",2024,1.6
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Sex,10,Female,34,"Percent of population, crude",2019,1.6
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Sex,10,Female,34,"Percent of population, crude",2020,1.3
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Sex,10,Female,34,"Percent of population, crude",2021,1.3
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Sex,10,Female,34,"Percent of population, crude",2022,1.4
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Sex,10,Female,34,"Percent of population, crude",2023,1.4
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Sex,10,Female,34,"Percent of population, crude",2024,1.3
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Sex,10,Male,35,"Percent of population, crude",2019,1.7
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Sex,10,Male,35,"Percent of population, crude",2020,1.6
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Sex,10,Male,35,"Percent of population, crude",2021,1.7
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Sex,10,Male,35,"Percent of population, crude",2022,1.9
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Sex,10,Male,35,"Percent of population, crude",2023,1.8
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Sex,10,Male,35,"Percent of population, crude",2024,1.9
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Sexual orientation,11,Bisexual,36,"Percent of population, crude",2019,2.3
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Sexual orientation,11,Bisexual,36,"Percent of population, crude",2020,0.8
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Sexual orientation,11,Bisexual,36,"Percent of population, crude",2021,1.0
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Sexual orientation,11,Bisexual,36,"Percent of population, crude",2022,0.6
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Sexual orientation,11,Bisexual,36,"Percent of population, crude",2023,0.1
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Sexual orientation,11,Bisexual,36,"Percent of population, crude",2024,0.6
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Sexual orientation,11,Gay or Lesbian,37,"Percent of population, crude",2019,1.3
